,0,1,2,3,4,word order entropy,words,entropy_word_order,sentence,correct
521592,but,she,came,back,looking, ,"but,she,came,back,looking",0.7590804254988015,"She went off to get her ball, and was a long
time finding it among the bushes, but she came back, looking cool and
quiet, and waited her turn patiently.",0.375
70816,see,him,come,to,harm, ,"see,him,come,to,harm",0.7591607932372106,"""I won't deny
that I have a liking for Morris and would be sorry to see him come to
harm.",0.25
160041,questions,and,answers,in,which, ,"questions,and,answers,in,which",0.759287275997238,"""
But this is a realm of questions and answers in which a more fastidious
spirit does not like to stay: for here truth has to stifle her yawns so
much when she is obliged to answer.",0.35294117647058826
761715,tell,me,about,its,cause, ,"tell,me,about,its,cause",0.7595587481969872,"I may be acquainted, for example, with my toothache,
and this knowledge may be as complete as knowledge by acquaintance ever
can be, without knowing all that the dentist (who is not acquainted
with it) can tell me about its cause, and without therefore knowing its
'nature' in the above sense.",0.75
267515,the,road,was,somewhat,cleared, ,"the,road,was,somewhat,cleared",0.7596173689194572,"The road
was somewhat cleared for them by the gunboats.",0.7692307692307693
372145,the,case,of,the,entire, ,"the,case,of,the,entire",0.7596275059137412,"I have already instanced
the case of the entire disintegration of a regiment whose colonel I met
at Farmville.",0.2
549778,sing,the,song,of,the, ,"sing,the,song,of,the",0.7598863662411866,"I'll try to sing
the song of the shepherd boy which the Pilgrims heard.",0.8666666666666667
734491,as,free,from,irrelevant,additions, ,"as,free,from,irrelevant,additions",0.7598876494667124,"Philosophy should show us the hierarchy of our instinctive beliefs,
beginning with those we hold most strongly, and presenting each as much
isolated and as free from irrelevant additions as possible.",0.3888888888888889
298347,the,enemy,on,the,top, ,"the,enemy,on,the,top",0.7599578023264151,"The crossing had to be effected in full
view of the enemy on the top of Lookout Mountain.",0.7647058823529411
828078,doing,nothing,except,singing,old, ,"doing,nothing,except,singing,old",0.7602219978520139,"From dinner to tea she would lie
in her breeze-rocked cradle, doing nothing except singing old songs--my
nursery lore--to herself, or watching the birds, joint tenants, feed and
entice their young ones to fly: or nestling with closed lids, half
thinking, half dreaming, happier than words can express.",0.4375
67172,but,as,the,wise,general, ,"but,as,the,wise,general",3.1777611005247017,"But as the wise general chooses the moment of
victory in which to redouble his efforts, so that his foes may have no
time to steady themselves after disaster, so Boss McGinty, looking out
upon the scene of his operations with his brooding and malicious eyes,
had devised a new attack upon those who opposed him.",0.14285714285714285
876044,again,in,the,same,intimacy, ,"again,in,the,same,intimacy",3.177780794398931,"Our friendship cannot
be impaired by it, and in happier times, when your situation is as
independent as mine, it will unite us again in the same intimacy as
ever.",0.11764705882352941
249855,on,hand,to,hear,every, ,"on,hand,to,hear,every",3.177793875623273,"Correspondents of the press were ever on hand to hear every word
dropped, and were not always disposed to report correctly what did not
confirm their preconceived notions, either about the conduct of the war
or the individuals concerned in it.",0.25
541089,taken,from,one,of,the, ,"taken,from,one,of,the",3.1794939662703285,"Esther fitted up the
closet with a little table, placed a footstool before it, and over it a
picture taken from one of the shut-up rooms.",0.6111111111111112
488134,and,all,sat,looking,at, ,"and,all,sat,looking,at",3.1795426961899516,"Presently Beth and Amy woke to rummage
and find their little books also, one dove-colored, the other blue, and
all sat looking at and talking about them, while the east grew rosy
with the coming day.",0.3333333333333333
215056,we,were,slashed,around,from, ,"we,were,slashed,around,from",3.1797757213284257,"With us, now twenty years
after the close of the most stupendous war ever known, we have writers
--who profess devotion to the nation--engaged in trying to prove that the
Union forces were not victorious; practically, they say, we were slashed
around from Donelson to Vicksburg and to Chattanooga; and in the East
from Gettysburg to Appomattox, when the physical rebellion gave out from
sheer exhaustion.",0.14285714285714285
642561,parents,would,sleep,for,a, ,"parents,would,sleep,for,a",3.180691072883029,"This was how Gregor received his food each day now, once in the
morning while his parents and the maid were still asleep, and the
second time after everyone had eaten their meal at midday as his
parents would sleep for a little while then as well, and Gregor's
sister would send the maid away on some errand.",0.35714285714285715
100646,interfered,with,that,great,development, ,"interfered,with,that,great,development",3.180783887163315,"Never in any way had we interfered with that great
development of trade which has turned them from one of the poorest
to one of the richest of European States.",0.1875
196954,about,equally,divided,in,population, ,"about,equally,divided,in,population",3.1815410960229684,"San Antonio was about equally divided in population between Americans
and Mexicans.",0.0
