workerid,proliferate.condition,age,comments,correct,education_level,enjoyment,gender,internal_node_id,key_press,native_language,response,rt,solution,stimulus,test_part,time_elapsed,total_score,trial_index,trial_type,understanding,experiment_id,participant_id,error
94,condition1,,,,,,,0.0-0.0,32,,,465345.4199999105,,"<p>University of California, Irvine Language Processing Group</p><p id=""legal"">By answering the following questions, you are participating in a study being performed by cognitive scientists in the University of California, Irvine Department of Language Science. If you have questions about this research, please contact Richard Futrell at rfutrell@uci.edu or Ryan Lee, at leerk3@uci.edu. You must be at least 18 years old to participate. Your participation in this research is voluntary. You may decline to answer any or all of the following questions. You may decline further participation, at any time, without adverse consequences. Your anonymity is assured; the researchers who have requested your participation will not receive any personal information about you.</p><p>Press spacebar to continue.</p>",,465741,,0,html-keyboard-response,,f1a4dc76-2a00-47fe-8d39-6f64085874d4,15227e1e-658e-4861-bc2d-e2a44eddba0d,
94,condition1,,,,,,,0.0-1.0,32,,,2262.5300001818687,,Welcome to the experiment. Press spacebar to begin.,,468290,,1,html-keyboard-response,,f1a4dc76-2a00-47fe-8d39-6f64085874d4,15227e1e-658e-4861-bc2d-e2a44eddba0d,
94,condition1,,,,,,,0.0-2.0,32,,,54182.99999996088,,"<p>A five-word sequence taken from a sentence will be given to you in random order.</p><p>Your task is to rearrange the words to match the original order from which they came.</p><p>However, you will not be given the original sentence.</p><p>For example:</p><video width='852' height='480' controls><source src='first_example_3.mp4' type='video/mp4'></video><p>Press spacebar to continue with the instructions.</p>",,522673,,2,html-keyboard-response,,f1a4dc76-2a00-47fe-8d39-6f64085874d4,15227e1e-658e-4861-bc2d-e2a44eddba0d,
94,condition1,,,,,,,0.0-3.0,32,,,59245.819999836385,,"<p>Note two things.</p><p>1. The five words may have been taken from any point within a sentence.</p><video width='852' height='480' controls><source src='note1_example_(quicker).mp4' type='video/mp4'></video><p>2. If you encounter multiple possibilities like this, just pick one order.</p><video width='852' height='480' controls><source src='note2_example_final.mp4' type='video/mp4'></video><p>You will be given the option to re-randomize the words and clear your input.</p><p>Press spacebar to continue.</p>",,581958,,3,html-keyboard-response,,f1a4dc76-2a00-47fe-8d39-6f64085874d4,15227e1e-658e-4861-bc2d-e2a44eddba0d,
94,condition1,,,,,,,0.0-4.0,32,,,5521.750000072643,,"<p>If you successfully match the original order for all trials, you will receive a bonus.</p><p>Good luck!</p><p>Press spacebar to continue.</p>",,587482,,4,html-keyboard-response,,f1a4dc76-2a00-47fe-8d39-6f64085874d4,15227e1e-658e-4861-bc2d-e2a44eddba0d,
94,condition1,,,True,,,,0.0-5.0-0.0,,,"['there', 'was', 'no', 'time', 'to']",,"['there', 'was', 'no', 'time', 'to']",,test,620572,1,5,cloze,,f1a4dc76-2a00-47fe-8d39-6f64085874d4,15227e1e-658e-4861-bc2d-e2a44eddba0d,
94,condition1,,,,,,,0.0-5.0-1.0,,,,,,"<img src=""correct.png"" width=100</img><p>Correct!</p>",fixation,621591,,6,html-keyboard-response,,f1a4dc76-2a00-47fe-8d39-6f64085874d4,15227e1e-658e-4861-bc2d-e2a44eddba0d,
94,condition1,,,False,,,,0.0-5.0-0.1,,,"['not', 'that', 'he', 'would', 'understand']",,"['that', 'he', 'would', 'not', 'understand']",,test,687466,1,7,cloze,,f1a4dc76-2a00-47fe-8d39-6f64085874d4,15227e1e-658e-4861-bc2d-e2a44eddba0d,
94,condition1,,,,,,,0.0-5.0-1.1,,,,,,<p>Wrong.<p>,fixation,691480,,8,html-keyboard-response,,f1a4dc76-2a00-47fe-8d39-6f64085874d4,15227e1e-658e-4861-bc2d-e2a44eddba0d,
94,condition1,,,True,,,,0.0-5.0-0.2,,,"['he', 'felt', 'that', 'he', 'was']",,"['he', 'felt', 'that', 'he', 'was']",,test,713303,2,9,cloze,,f1a4dc76-2a00-47fe-8d39-6f64085874d4,15227e1e-658e-4861-bc2d-e2a44eddba0d,
94,condition1,,,,,,,0.0-5.0-1.2,,,,,,"<img src=""correct.png"" width=100</img><p>Correct!</p>",fixation,714308,,10,html-keyboard-response,,f1a4dc76-2a00-47fe-8d39-6f64085874d4,15227e1e-658e-4861-bc2d-e2a44eddba0d,
94,condition1,,,False,,,,0.0-5.0-0.3,,,"['which', 'southernly', 'world', 'had', 'centuries']",,"['southernly', 'world', 'which', 'had', 'centuries']",,test,575241,2,11,cloze,,f1a4dc76-2a00-47fe-8d39-6f64085874d4,15227e1e-658e-4861-bc2d-e2a44eddba0d,
94,condition1,,,,,,,0.0-5.0-1.3,,,,,,<p>Wrong.<p>,fixation,579251,,12,html-keyboard-response,,f1a4dc76-2a00-47fe-8d39-6f64085874d4,15227e1e-658e-4861-bc2d-e2a44eddba0d,
94,condition1,,,False,,,,0.0-5.0-0.4,,,"['slow', 'the', 'rise', 'of', 'the']",,"['the', 'slow', 'rise', 'of', 'the']",,test,602410,2,13,cloze,,f1a4dc76-2a00-47fe-8d39-6f64085874d4,15227e1e-658e-4861-bc2d-e2a44eddba0d,
94,condition1,,,,,,,0.0-5.0-1.4,,,,,,<p>Wrong.<p>,fixation,606413,,14,html-keyboard-response,,f1a4dc76-2a00-47fe-8d39-6f64085874d4,15227e1e-658e-4861-bc2d-e2a44eddba0d,
94,condition1,,,False,,,,0.0-5.0-0.5,,,"['know', 'what', 'to', 'do', 'to']",,"['to', 'know', 'what', 'to', 'do']",,test,677036,2,15,cloze,,f1a4dc76-2a00-47fe-8d39-6f64085874d4,15227e1e-658e-4861-bc2d-e2a44eddba0d,
94,condition1,,,,,,,0.0-5.0-1.5,,,,,,<p>Wrong.<p>,fixation,681040,,16,html-keyboard-response,,f1a4dc76-2a00-47fe-8d39-6f64085874d4,15227e1e-658e-4861-bc2d-e2a44eddba0d,
94,condition1,,,True,,,,0.0-5.0-0.6,,,"['did', 'not', 'know', 'that', 'his']",,"['did', 'not', 'know', 'that', 'his']",,test,710662,3,17,cloze,,f1a4dc76-2a00-47fe-8d39-6f64085874d4,15227e1e-658e-4861-bc2d-e2a44eddba0d,
94,condition1,,,,,,,0.0-5.0-1.6,,,,,,"<img src=""correct.png"" width=100</img><p>Correct!</p>",fixation,711668,,18,html-keyboard-response,,f1a4dc76-2a00-47fe-8d39-6f64085874d4,15227e1e-658e-4861-bc2d-e2a44eddba0d,
94,condition1,,,False,,,,0.0-5.0-0.7,,,"['are', 'concessionnaires', 'goes', 'in', 'question']",,"['concessionnaires', 'are', 'in', 'question', 'goes']",,test,915414,3,19,cloze,,f1a4dc76-2a00-47fe-8d39-6f64085874d4,15227e1e-658e-4861-bc2d-e2a44eddba0d,
94,condition1,,,,,,,0.0-5.0-1.7,,,,,,<p>Wrong.<p>,fixation,919434,,20,html-keyboard-response,,f1a4dc76-2a00-47fe-8d39-6f64085874d4,15227e1e-658e-4861-bc2d-e2a44eddba0d,
94,condition1,,,False,,,,0.0-5.0-0.8,,,"['capture', 'and', 'give', 'it', 'again']",,"['capture', 'it', 'again', 'and', 'give']",,test,953628,3,21,cloze,,f1a4dc76-2a00-47fe-8d39-6f64085874d4,15227e1e-658e-4861-bc2d-e2a44eddba0d,
94,condition1,,,,,,,0.0-5.0-1.8,,,,,,<p>Wrong.<p>,fixation,958252,,22,html-keyboard-response,,f1a4dc76-2a00-47fe-8d39-6f64085874d4,15227e1e-658e-4861-bc2d-e2a44eddba0d,
94,condition1,,,False,,,,0.0-5.0-0.9,,,"['the', 'volume', 'this', 'little', 'foreword']",,"['foreword', 'this', 'little', 'volume', 'the']",,test,1064895,3,23,cloze,,f1a4dc76-2a00-47fe-8d39-6f64085874d4,15227e1e-658e-4861-bc2d-e2a44eddba0d,
94,condition1,,,,,,,0.0-5.0-1.9,,,,,,<p>Wrong.<p>,fixation,1068904,,24,html-keyboard-response,,f1a4dc76-2a00-47fe-8d39-6f64085874d4,15227e1e-658e-4861-bc2d-e2a44eddba0d,
94,condition1,,,False,,,,0.0-5.0-0.10,,,"['choppers', 'and', 'would', 'load', 'some']",,"['choppers', 'would', 'load', 'and', 'some']",,test,1101390,3,25,cloze,,f1a4dc76-2a00-47fe-8d39-6f64085874d4,15227e1e-658e-4861-bc2d-e2a44eddba0d,
94,condition1,,,,,,,0.0-5.0-1.10,,,,,,<p>Wrong.<p>,fixation,1105396,,26,html-keyboard-response,,f1a4dc76-2a00-47fe-8d39-6f64085874d4,15227e1e-658e-4861-bc2d-e2a44eddba0d,
94,condition1,,,True,,,,0.0-5.0-0.11,,,"['turquoise', 'rings', 'would', 'not', 'console']",,"['turquoise', 'rings', 'would', 'not', 'console']",,test,1141175,4,27,cloze,,f1a4dc76-2a00-47fe-8d39-6f64085874d4,15227e1e-658e-4861-bc2d-e2a44eddba0d,
94,condition1,,,,,,,0.0-5.0-1.11,,,,,,"<img src=""correct.png"" width=100</img><p>Correct!</p>",fixation,1142183,,28,html-keyboard-response,,f1a4dc76-2a00-47fe-8d39-6f64085874d4,15227e1e-658e-4861-bc2d-e2a44eddba0d,
94,condition1,,,False,,,,0.0-5.0-0.12,,,"['learner', 'will', 'attach', 'himself', 'or']",,"['learner', 'or', 'will', 'attach', 'himself']",,test,1188401,4,29,cloze,,f1a4dc76-2a00-47fe-8d39-6f64085874d4,15227e1e-658e-4861-bc2d-e2a44eddba0d,
94,condition1,,,,,,,0.0-5.0-1.12,,,,,,<p>Wrong.<p>,fixation,1192404,,30,html-keyboard-response,,f1a4dc76-2a00-47fe-8d39-6f64085874d4,15227e1e-658e-4861-bc2d-e2a44eddba0d,
94,condition1,,,True,,,,0.0-5.0-0.13,,,"['idealize', 'our', 'romance', 'and', 'our']",,"['idealize', 'our', 'romance', 'and', 'our']",,test,1218696,5,31,cloze,,f1a4dc76-2a00-47fe-8d39-6f64085874d4,15227e1e-658e-4861-bc2d-e2a44eddba0d,
94,condition1,,,,,,,0.0-5.0-1.13,,,,,,"<img src=""correct.png"" width=100</img><p>Correct!</p>",fixation,1219699,,32,html-keyboard-response,,f1a4dc76-2a00-47fe-8d39-6f64085874d4,15227e1e-658e-4861-bc2d-e2a44eddba0d,
94,condition1,,,True,,,,0.0-5.0-0.14,,,"['something', 'dreadful', 'has', 'happened', 'to']",,"['something', 'dreadful', 'has', 'happened', 'to']",,test,1239527,6,33,cloze,,f1a4dc76-2a00-47fe-8d39-6f64085874d4,15227e1e-658e-4861-bc2d-e2a44eddba0d,
94,condition1,,,,,,,0.0-5.0-1.14,,,,,,"<img src=""correct.png"" width=100</img><p>Correct!</p>",fixation,1240530,,34,html-keyboard-response,,f1a4dc76-2a00-47fe-8d39-6f64085874d4,15227e1e-658e-4861-bc2d-e2a44eddba0d,
94,condition1,,,True,,,,0.0-5.0-0.15,,,"['he', 'went', 'back', 'to', 'his']",,"['he', 'went', 'back', 'to', 'his']",,test,1257144,7,35,cloze,,f1a4dc76-2a00-47fe-8d39-6f64085874d4,15227e1e-658e-4861-bc2d-e2a44eddba0d,
