,workerid,proliferate.condition,age,comments,correct,education_level,enjoyment,gender,internal_node_id,key_press,native_language,response,rt,solution,stimulus,test_part,time_elapsed,total_score,trial_index,trial_type,understanding,experiment_id,participant_id,error,words
0,150,condition1,,,,,,,0.0-0.0,32.0,,,1172330.8549999783,,"<p>University of California, Irvine Language Processing Group</p><p id=""legal"">By answering the following questions, you are participating in a study being performed by cognitive scientists in the University of California, Irvine Department of Language Science. If you have questions about this research, please contact Richard Futrell at rfutrell@uci.edu or Ryan Lee, at leerk3@uci.edu. You must be at least 18 years old to participate. Your participation in this research is voluntary. You may decline to answer any or all of the following questions. You may decline further participation, at any time, without adverse consequences. Your anonymity is assured; the researchers who have requested your participation will not receive any personal information about you.</p><p>Press spacebar to continue.</p>",,1172397,,0,html-keyboard-response,,e08884f0-14b4-49da-a491-37b6124ceb38,0ec4029d-904e-419a-8244-52e5a62d3675,,
1,150,condition1,,,,,,,0.0-1.0,32.0,,,1140.030000009574,,Welcome to the experiment. Press spacebar to begin.,,1173539,,1,html-keyboard-response,,e08884f0-14b4-49da-a491-37b6124ceb38,0ec4029d-904e-419a-8244-52e5a62d3675,,
2,150,condition1,,,,,,,0.0-2.0,32.0,,,27821.18999998784,,"<p>A five-word sequence taken from a sentence will be given to you in random order.</p><p>Your task is to rearrange the words to match the original order from which they came.</p><p>However, you will not be given the original sentence.</p><p>For example:</p><video width='852' height='480' controls><source src='first_example_3.mp4' type='video/mp4'></video><p>Press spacebar to continue with the instructions.</p>",,1201368,,2,html-keyboard-response,,e08884f0-14b4-49da-a491-37b6124ceb38,0ec4029d-904e-419a-8244-52e5a62d3675,,
3,150,condition1,,,,,,,0.0-3.0,32.0,,,6683.404999988853,,"<p>Note two things.</p><p>1. The five words may have been taken from any point within a sentence.</p><video width='852' height='480' controls><source src='note1_example_(quicker).mp4' type='video/mp4'></video><p>2. If you encounter multiple possibilities like this, just pick one order.</p><video width='852' height='480' controls><source src='note2_example_final.mp4' type='video/mp4'></video><p>You will be given the option to re-randomize the words and clear your input.</p><p>Press spacebar to continue.</p>",,1208055,,3,html-keyboard-response,,e08884f0-14b4-49da-a491-37b6124ceb38,0ec4029d-904e-419a-8244-52e5a62d3675,,
4,150,condition1,,,,,,,0.0-4.0,37.0,,,1327.8800000261979,,"<p>If you successfully match the original order for all trials, you will receive a bonus.</p><p>Good luck!</p><p>Press spacebar to continue.</p>",,1209384,,4,html-keyboard-response,,e08884f0-14b4-49da-a491-37b6124ceb38,0ec4029d-904e-419a-8244-52e5a62d3675,,
5,150,condition1,,,True,,,,0.0-5.0-0.0,,,"['as', 'free', 'from', 'irrelevant', 'additions']",,"['as', 'free', 'from', 'irrelevant', 'additions']",,test,1256755,1.0,5,cloze,,e08884f0-14b4-49da-a491-37b6124ceb38,0ec4029d-904e-419a-8244-52e5a62d3675,,"as,free,from,irrelevant,additions"
6,150,condition1,,,,,,,0.0-5.0-1.0,32.0,,,4291.1350000067605,,"<img src=""correct.png"" width=100</img><h2>Correct!</h2><h4>Your response was:</h4><p>as,free,from,irrelevant,additions</p><h4>Here is the original sentence:</h4><p>Philosophy should show us the hierarchy of our instinctive beliefs, beginning with those we hold most strongly, and presenting each as much isolated and as free from irrelevant additions as possible.</p><p style=""font-size:11px;"">(This sentence was scraped from a text from Project Gutenberg.)</p><p style=""font-size:11px;"">Press space to continue.</p>",fixation,1261051,,6,html-keyboard-response,,e08884f0-14b4-49da-a491-37b6124ceb38,0ec4029d-904e-419a-8244-52e5a62d3675,,
7,150,condition1,,,False,,,,0.0-5.0-0.1,,,"['the', 'sing', 'of', 'the', 'song']",,"['sing', 'the', 'song', 'of', 'the']",,test,1302037,1.0,7,cloze,,e08884f0-14b4-49da-a491-37b6124ceb38,0ec4029d-904e-419a-8244-52e5a62d3675,,"sing,the,song,of,the"
8,150,condition1,,,,,,,0.0-5.0-1.1,32.0,,,5876.229999994393,,"<h2>Wrong.</h2><h4>Your response was:</h4><p>the,sing,of,the,song</p><h4>Here is the correct answer and the original sentence:</h4><p>sing,the,song,of,the</p><p>I'll try to sing the song of the shepherd boy which the Pilgrims heard.</p><p style=""font-size:11px;"">(This sentence was scraped from a text from Project Gutenberg.)</p><p style=""font-size:11px;"">Press space to continue.</p>",fixation,1307916,,8,html-keyboard-response,,e08884f0-14b4-49da-a491-37b6124ceb38,0ec4029d-904e-419a-8244-52e5a62d3675,,
9,150,condition1,,,False,,,,0.0-5.0-0.2,,,"['tell', 'me', 'cause', 'its', 'about']",,"['tell', 'me', 'about', 'its', 'cause']",,test,1325882,1.0,9,cloze,,e08884f0-14b4-49da-a491-37b6124ceb38,0ec4029d-904e-419a-8244-52e5a62d3675,,"tell,me,about,its,cause"
